,Name,Category,Category_1,Location,Location_1,Label,Rating,Review,avg_lunch,avg_dinner,min_lunch,max_lunch,min_dinner,max_dinner,Location_2
0,런던 베이글 뮤지엄 도산,"카페,디저트",카페,도산공원,강남구,웨이팅,4.4,3419,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,도산공원
1,산청숯불가든 마곡,돼지고기구이,한식,마곡,강서구,웨이팅,4.6,583,40000.0,40000.0,20000.0,60000.0,20000.0,60000.0,마곡
2,라프레플루트,"카페,디저트",카페,서울숲,성동구,웨이팅,4.3,278,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서울숲
3,한소반 청계산점,"육류,고기요리",한식,청계산,서초구,웨이팅,4.3,197,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,청계산
4,크레이지카츠,돈가스,한식,합정,마포구,웨이팅,4.7,562,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,합정
5,런던 베이글 뮤지엄 잠실,"카페,디저트",카페,잠실,송파구,웨이팅,4.3,5336,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,잠실
6,아티스트 베이커리,"카페,디저트",카페,안국,종로구,웨이팅,4.4,1177,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,안국
7,산청숯불가든 을지로,돼지고기구이,한식,을지로,중구,웨이팅,4.6,1122,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,을지로
8,도트블랭킷 안국점,브런치,양식,안국,종로구,웨이팅,4.5,193,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,안국
9,난포,한식,한식,서울숲,성동구,웨이팅,4.3,950,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,서울숲
10,미뉴트빠삐용,"카페,디저트",카페,압구정로데오,강남구,웨이팅,4.0,720,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,압구정로데오
11,하이디라오 영등포점,중식,중식,영등포,영등포구,웨이팅,4.7,952,40000.0,40000.0,30000.0,50000.0,30000.0,50000.0,영등포
12,몽탄,"육류,고기요리",한식,삼각지,용산구,웨이팅,4.3,524,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,삼각지
13,금돼지식당,돼지고기구이,한식,약수,중구,웨이팅,4.2,1067,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,약수
14,서령,"국수,냉면",한식,회현,중구,웨이팅,4.7,753,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,회현
15,하이디라오 서초점,중식,중식,강남,강남구,웨이팅,4.7,894,40000.0,40000.0,30000.0,50000.0,30000.0,50000.0,강남
16,유즈라멘,일식,일식,서울역,성동구,웨이팅,4.6,1161,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울역
17,김수사 신세계,"스시,초밥",일식,반포,서초구,웨이팅,4.6,68,75000.0,75000.0,50000.0,100000.0,50000.0,100000.0,반포
18,플롭 안국,피자,양식,안국,종로구,웨이팅,4.4,396,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,안국
19,하쿠텐,일식,일식,연남,마포구,웨이팅,4.8,884,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,연남
20,오이지 대학로,한식,한식,혜화,종로구,웨이팅,4.4,772,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,혜화
21,남영돈,돼지고기구이,한식,남영,용산구,웨이팅,4.4,270,영업안함,25000.0,,,20000.0,30000.0,남영
22,오제제 강남점,일식,일식,강남,강남구,웨이팅,4.6,410,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,강남
23,살라댕템플,퓨전음식,퓨전,성수,성동구,웨이팅,4.3,1991,50000.0,50000.0,20000.0,80000.0,20000.0,80000.0,성수
24,아이노가든키친,"백반,가정식",한식,광화문,종로구,웨이팅,4.5,843,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,광화문
25,떡도리탕 강남본점,"닭,오리요리",한식,강남,강남구,웨이팅,4.5,913,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남
26,쯔루하시 후게츠 명동점,일식,일식,명동,중구,웨이팅,4.5,931,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,명동
27,쌤쌤쌤,아메리칸음식,양식,삼각지,용산구,웨이팅,4.0,1087,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,삼각지
28,스시지현,"스시,초밥",일식,연남,마포구,웨이팅,4.9,706,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,연남
29,깡통만두,한식,한식,북촌,종로구,웨이팅,4.3,961,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,북촌
30,오제제 신용산점,일식,일식,신용산,용산구,웨이팅,4.5,463,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,신용산/이촌
31,바위파스타바 강남신세계점,파스타,양식,반포,서초구,웨이팅,4.9,10,70000.0,70000.0,50000.0,90000.0,50000.0,90000.0,반포
32,월래순교자관,중식,중식,구로,구로구,웨이팅,4.1,165,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,구로
33,소몽,일식,일식,여의도,영등포구,웨이팅,4.5,67,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,여의도
34,파이프그라운드,피자,양식,한남,용산구,웨이팅,4.7,292,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,한남
35,키보아츠아츠,일식,일식,반포,서초구,웨이팅,3.4,53,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,반포
36,키쿠카와,일식,일식,반포,서초구,웨이팅,3.9,48,45000.0,45000.0,10000.0,80000.0,10000.0,80000.0,반포
37,함반,한식,한식,합정,마포구,웨이팅,4.7,570,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,합정
38,콘드에뻬뻬,브런치,양식,장충동,중구,웨이팅,4.6,567,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,장충동
39,꿉당 신사,돼지고기구이,한식,신사,강남구,웨이팅,4.4,485,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신사
40,옥탑방,돼지고기구이,한식,은평,은평구,웨이팅,4.8,230,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,은평
41,콩카세 안국,이탈리아음식,양식,북촌,종로구,웨이팅,4.7,124,35000.0,35000.0,10000.0,60000.0,10000.0,60000.0,북촌
42,오근내2닭갈비,"닭,오리요리",한식,용산,용산구,웨이팅,4.2,24,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,용산
43,버섯집,한식,한식,서울숲,성동구,웨이팅,4.4,204,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울숲
44,버뮤다삼각지,멕시코음식,양식,삼각지,용산구,웨이팅,4.6,429,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,삼각지
45,은평정육식당,"육류,고기요리",한식,은평,은평구,웨이팅,4.3,210,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,은평
46,광평 평양냉면갈비 삼성본점,"육류,고기요리",한식,삼성,강남구,웨이팅,4.6,561,45000.0,45000.0,10000.0,80000.0,10000.0,80000.0,삼성
47,꿉당 성수점,돼지고기구이,한식,성수,성동구,웨이팅,4.5,342,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
48,꺼거,중식,중식,삼각지,용산구,웨이팅,4.5,126,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,삼각지
49,라브리크 서울,브런치,양식,강남,강남구,웨이팅,4.0,345,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,강남
50,프레고클럽,파스타,양식,성수,성동구,웨이팅,4.2,245,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,성수
51,도야집,돼지고기구이,한식,신용산,용산구,웨이팅,4.5,224,25000.0,25000.0,20000.0,30000.0,20000.0,30000.0,신용산/이촌
52,솔솥 성수점,한식,한식,성수,성동구,웨이팅,4.3,298,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,성수
53,마제 스키야키,일식,일식,용산,용산구,웨이팅,4.9,616,30000.0,30000.0,20000.0,40000.0,20000.0,40000.0,용산
54,살롱순라,이탈리아음식,양식,종로,종로구,웨이팅,4.3,129,30000.0,30000.0,20000.0,40000.0,20000.0,40000.0,종로
55,본디,돼지고기구이,한식,석촌,송파구,웨이팅,4.5,170,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,석촌
56,한미옥 청담본점,"육류,고기요리",한식,청담,강남구,웨이팅,4.5,227,40000.0,50000.0,10000.0,70000.0,20000.0,80000.0,청담
57,홋카이도 부타동 스미레,일식,일식,신촌,서대문구,웨이팅,4.9,40,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신촌
58,오아시스 한남점,브런치,양식,한남,용산구,웨이팅,4.1,132,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,한남
59,일월카츠 안국점,돈가스,한식,종로,종로구,웨이팅,4.9,172,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,종로
60,고든램지버거 롯데월드몰점,아메리칸음식,양식,잠실,송파구,웨이팅,4.2,7000,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,잠실
61,김진목삼,돼지고기구이,한식,서촌,종로구,웨이팅,4.8,312,영업안함,15000.0,,,10000.0,20000.0,서촌
62,진저베어,"카페,디저트",카페,송파,송파구,웨이팅,4.3,436,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,송파
63,을지로 진작 본점,일식,일식,을지로,중구,웨이팅,4.4,358,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,을지로
64,테디뵈르하우스,"카페,디저트",카페,삼각지,용산구,웨이팅,4.4,34,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,삼각지
65,치즈룸X테이스팅룸 월드몰,이탈리아음식,양식,잠실,송파구,웨이팅,4.4,1329,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,잠실
66,부빙 북촌점,"카페,디저트",카페,북촌,종로구,웨이팅,4.4,116,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,북촌
67,고에몬 강남,일식,일식,강남,강남구,웨이팅,4.1,449,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남
68,우와 명동점,일식,일식,명동,중구,웨이팅,4.5,153,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,명동
69,봄담아 등촌점,샤브샤브,한식,등촌,강서구,웨이팅,4.6,417,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,등촌
70,왕십리연탄집,한식,한식,왕십리,성동구,웨이팅,4.6,13,영업안함,15000.0,,,10000.0,20000.0,왕십리/상왕십리
71,자주한상,한식,한식,반포,서초구,웨이팅,4.4,24,45000.0,45000.0,10000.0,80000.0,10000.0,80000.0,반포
72,온천집 스키야키,샤브샤브,한식,압구정로데오,강남구,웨이팅,4.1,1135,55000.0,55000.0,20000.0,90000.0,20000.0,90000.0,압구정로데오
73,핫쵸 성수,일식,일식,서울숲,성동구,웨이팅,4.6,440,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서울숲
74,도꼭지 KT송파타워점,한식,한식,잠실,송파구,웨이팅,4.4,1347,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,잠실
75,진작다이닝 용산점,일식,일식,신용산,용산구,웨이팅,4.6,216,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,신용산/이촌
76,우와 신사점,일식,일식,신사,강남구,웨이팅,4.5,137,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신사
77,더크다이브,일식,일식,신용산,용산구,웨이팅,4.6,210,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,신용산/이촌
78,청기와타운 을지로점,"육류,고기요리",한식,명동,중구,웨이팅,4.7,299,25000.0,25000.0,20000.0,30000.0,20000.0,30000.0,명동
79,우육면관 광화문점,중식,중식,광화문,종로구,웨이팅,4.7,255,15000.0,30000.0,10000.0,20000.0,10000.0,50000.0,광화문
80,DOTZ,아시아음식,아시아음식,한남,용산구,웨이팅,4.6,449,20000.0,30000.0,10000.0,30000.0,20000.0,40000.0,한남
81,캐롤스 롯데월드몰,아메리칸음식,양식,잠실,송파구,웨이팅,4.4,852,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,잠실
82,566라멘,일식,일식,연남,마포구,웨이팅,4.8,379,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
83,블루보틀 여의도 카페,"카페,디저트",카페,여의도,영등포구,웨이팅,3.8,254,65000.0,65000.0,50000.0,80000.0,50000.0,80000.0,여의도
84,개나리아구찜 본점,해물(탕/찜/볶음),한식,송파,송파구,웨이팅,3.9,281,25000.0,25000.0,20000.0,30000.0,20000.0,30000.0,송파
85,미식가주택,이자카야,일식,상수,마포구,웨이팅,4.6,272,영업안함,30000.0,,,20000.0,40000.0,상수
86,화육계,"닭,오리요리",한식,을지로,중구,웨이팅,3.8,217,영업안함,20000.0,,,10000.0,30000.0,을지로
87,연남토마 북촌점,퓨전음식,퓨전,북촌,종로구,웨이팅,4.4,98,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,북촌
88,봉산옥,한식,한식,서초,서초구,웨이팅,4.1,239,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,서초
89,김진목삼 2호점,돼지고기구이,한식,서촌,종로구,웨이팅,4.7,180,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,서촌
90,도산정육 본점,돼지고기구이,한식,압구정로데오,강남구,웨이팅,4.4,157,30000.0,30000.0,20000.0,40000.0,20000.0,40000.0,압구정로데오
91,바오서울 성수,중식,중식,성수,성동구,웨이팅,4.2,39,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
92,판코네(Pancone),파스타,양식,신용산,용산구,웨이팅,4.5,603,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,신용산/이촌
93,스시츠바사,스시오마카세,일식,용산,용산구,웨이팅,4.5,1426,45000.0,110000.0,20000.0,70000.0,110000.0,110000.0,용산
94,익스첼,멕시코음식,양식,합정,마포구,웨이팅,4.7,77,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,합정
95,빌즈 잠실,브런치,양식,잠실,송파구,웨이팅,4.0,463,30000.0,30000.0,10000.0,50000.0,10000.0,50000.0,잠실
96,도트블랭킷 삼청한옥점,브런치,양식,삼청,종로구,웨이팅,4.5,154,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,삼청
97,탕면,중식,중식,은평,은평구,웨이팅,4.6,393,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,은평
98,송정,한식,한식,망원,마포구,웨이팅,4.9,47,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,망원
99,누데이크 신사,"카페,디저트",카페,가로수길,강남구,웨이팅,3.9,68,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,가로수길
100,도요스,스시오마카세,일식,잠실,송파구,웨이팅,4.7,1412,33000.0,33000.0,33000.0,33000.0,33000.0,33000.0,잠실
101,연하동 대학로점,일식,일식,혜화,종로구,웨이팅,4.6,202,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,혜화
102,고기싸롱 망원역점,돼지고기구이,한식,망원,마포구,웨이팅,4.6,52,17500.0,18500.0,17500.0,17500.0,18500.0,18500.0,망원
103,MISFITS,아메리칸음식,양식,사당,동작구,웨이팅,4.5,25,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,사당
104,히소카,이자카야,일식,문래,영등포구,웨이팅,4.8,143,영업안함,20000.0,,,10000.0,30000.0,문래
105,고도식 마포점,"육류,고기요리",한식,마포,마포구,웨이팅,4.2,36,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,마포
106,아민 연남(지중해 올데이 브런치),양식,양식,연남,마포구,웨이팅,4.8,291,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,연남
107,정각,양식,양식,마포,마포구,웨이팅,4.5,194,45000.0,45000.0,10000.0,80000.0,10000.0,80000.0,마포
108,뚝도농원,돼지고기구이,한식,성수,성동구,웨이팅,4.5,136,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
109,뉴오더클럽 한남,피자,양식,한남,용산구,웨이팅,4.5,9,25000.0,25000.0,20000.0,30000.0,20000.0,30000.0,한남
110,빈브라더스 커피하우스,"카페,디저트",카페,상수,마포구,웨이팅,4.7,59,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,상수
111,숙성부심,돼지고기구이,한식,군자,광진구,웨이팅,4.5,165,영업안함,15000.0,,,10000.0,20000.0,군자
112,양산도 여의도점,일식,일식,여의도,영등포구,웨이팅,4.6,104,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,여의도
113,예술의전당 담,한식,한식,서초,서초구,웨이팅,4.1,280,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,서초
114,우와 연남점,일식,일식,연남,마포구,웨이팅,4.6,89,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,연남
115,더 타코부스,아메리칸음식,양식,압구정로데오,강남구,웨이팅,4.2,132,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,압구정로데오
116,후라토식당 여의도직영점,일식,일식,여의도,영등포구,웨이팅,4.3,184,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,여의도
117,돝고기506,돼지고기구이,한식,역삼,강남구,웨이팅,4.3,506,25000.0,25000.0,10000.0,40000.0,10000.0,40000.0,역삼
118,하트파트 롯데월드몰점,한식,한식,잠실,송파구,웨이팅,4.1,364,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,잠실
119,샤브인서울 신용산 본점,샤브샤브,한식,신용산,용산구,웨이팅,4.6,1020,30000.0,30000.0,20000.0,40000.0,20000.0,40000.0,신용산/이촌
120,필앳홈,브런치,양식,송파,송파구,웨이팅,4.2,81,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,송파
121,또보겠지떡볶이집 강남헬로몽키점,한식,한식,강남,강남구,웨이팅,4.4,144,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,강남
122,고급오복수산,일식,일식,압구정,강남구,웨이팅,4.5,359,35000.0,35000.0,10000.0,60000.0,10000.0,60000.0,압구정
123,후라토식당 잠실직영점,일식,일식,잠실,송파구,웨이팅,4.3,187,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,잠실
124,번트서울,"카페,디저트",카페,을지로,중구,웨이팅,4.5,4,10000.0,10000.0,10000.0,10000.0,10000.0,10000.0,을지로
125,초이다이닝 성수점,일식,일식,성수,성동구,웨이팅,3.8,70,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,성수
126,휴돈정,일식,일식,공릉,노원구,웨이팅,4.8,151,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,공릉
127,심퍼티쿠시 가로수길점,유러피안음식,양식,가로수길,강남구,웨이팅,4.6,852,35000.0,35000.0,20000.0,50000.0,20000.0,50000.0,가로수길
128,벽돌해피푸드 압구정점,중식,중식,압구정로데오,강남구,웨이팅,4.3,60,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,압구정로데오
129,시나모롤스위트카페,"카페,디저트",카페,홍대,마포구,웨이팅,3.9,1479,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,홍대
130,온점 을지로점,"육류,고기요리",한식,을지로,중구,웨이팅,4.7,48,20000.0,40000.0,10000.0,30000.0,20000.0,60000.0,을지로
131,산들애건강밥상,한식,한식,은평,은평구,웨이팅,4.5,89,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,은평
132,낙원타코 용산아이파크몰점,멕시코음식,양식,용산,용산구,웨이팅,4.3,123,25000.0,25000.0,20000.0,30000.0,20000.0,30000.0,용산
133,알돈익스프레스,일식,일식,충무로,중구,웨이팅,5.0,1,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,충무로
134,군산오징어 본점,한식,한식,잠실,송파구,웨이팅,3.8,63,20000.0,20000.0,10000.0,30000.0,10000.0,30000.0,잠실
135,금금 송리단길,한식,한식,송파,송파구,웨이팅,4.5,61,15000.0,15000.0,10000.0,20000.0,10000.0,20000.0,송파
136,온더보더 롯데월드몰점,멕시코음식,양식,잠실,송파구,웨이팅,4.2,175,45000.0,45000.0,10000.0,80000.0,10000.0,80000.0,잠실
